b_type,b_id,pga,gm,status,max_idr,T1,max_acc_x,max_acc_z,max_bs_x,max_bs_z,total_weight,n_floors,floor_h,max_resid_x,max_resid_z,has_abs_accel,has_energy,has_residual,energy_ke_final,energy_win_final
C1H,2X5JQ679DG,0.2,0003_0331Hualian_TCU095_E,Success,0.0044150458828305615,0.6199177568986923,746.7789545372432,671.854361302307,144593.03125,134394.609375,377462.31102117646,8,333.9509803921569,0.127678486047993,0.08637081998360648,True,True,True,55.936256408691406,-1850838.375
C1H,2X5JQ679DG,0.2,0004_0206Meinong_CHY096_E,Success,0.0024397884152962883,0.61995048933458,487.6365388383059,661.1723017527959,85198.1328125,92668.125,377462.31102117646,8,333.9509803921569,0.020028207842481247,0.016270916512235004,True,True,True,0.3483470380306244,-738646.6875
C1H,2X5JQ679DG,0.2,0005_0206Meinong_CHY056_E,Success,0.00649852715752084,0.61995048933458,869.3716172353716,562.1918085515357,187047.109375,126197.296875,377462.31102117646,8,333.9509803921569,0.13536683454888826,0.02807218504149635,True,True,True,29.439279556274414,-2408493.25
C1H,2X5JQ679DG,0.2,0006_0206Meinong_CHY053_E,Success,0.004810240799965808,0.61995048933458,743.9228867995058,596.375658326211,140243.5,123259.609375,377462.31102117646,8,333.9509803921569,0.02360423199875403,0.012390884021450067,True,True,True,1.0569610595703125,-2032297.625
C1H,2X5JQ679DG,0.2,0007_0206Meinong_CHY067_E,Success,0.0023876692609301033,0.6198853437988991,643.3599695609336,347.71460166123137,101027.375,86602.59375,377462.31102117646,8,333.9509803921569,0.035441354876674006,0.03883447231408701,True,True,True,29.126110076904297,-650315.875
C1H,2X5JQ679DG,0.2,0008_CHICHI_CHY046-E,Success,0.005188202655493927,0.6198853437988991,685.7944059954257,1041.5096500732616,126148.96875,150867.625,377462.31102117646,8,333.9509803921569,0.03207841527200294,0.20881210312827378,True,True,True,409.0386047363281,-2540011.0
C1H,2X5JQ679DG,0.2,0009_CHICHI_TCU029-E,Success,0.004969870771343838,0.6198169180779421,895.432422884302,742.7961003487521,154363.84375,136736.359375,377462.31102117646,8,333.9509803921569,0.022743502395117098,0.014116903480005057,True,True,True,38.81902313232422,-2315495.75
C1H,2X5JQ679DG,0.3,0001_CHICHI_TCU049_E,Success,0.0049188026215934285,0.6197772852422531,825.8190786390289,820.4427856320074,129939.3359375,145847.125,377462.31102117646,8,333.9509803921569,0.10976255448848944,0.021117026504617723,True,True,True,45.07176971435547,-2577412.75
C1H,2X5JQ679DG,0.3,0002_CHICHI_TCU051_E,Success,0.008941592218966876,0.6197772852422531,1421.8732677669386,1438.2979882848758,216189.765625,258253.140625,377462.31102117646,8,333.9509803921569,0.18314132903754193,0.15861276827503268,True,True,True,4273.07373046875,-12314648.0
C1H,2X5JQ679DG,0.3,0003_0331Hualian_TCU095_E,Success,0.006481918681396593,0.6197772852422531,954.0811257872036,713.3630216498518,177110.125,150969.15625,377462.31102117646,8,333.9509803921569,0.04799767001557526,0.19373783172257647,True,True,True,189.47360229492188,-2793654.25
C1H,2X5JQ679DG,0.3,0005_0206Meinong_CHY056_E,Success,0.01046298053824931,0.6197778432100123,1171.27909262995,815.2639362544477,250162.109375,175899.71875,377462.31102117646,8,333.9509803921569,0.3849140768599492,0.08351917337397456,True,True,True,132.74195861816406,-5553144.0
C1H,2X5JQ679DG,0.3,0007_0206Meinong_CHY067_E,Success,0.0043909469727315045,0.6198447525792847,731.8091753994722,753.9095879454699,116439.5234375,150985.96875,377462.31102117646,8,333.9509803921569,0.01864129094922085,0.07225314436062434,True,True,True,168.45814514160156,-2198388.75
C1H,2X5JQ679DG,0.3,0008_CHICHI_CHY046-E,Success,0.00878057981733968,0.6198447525792847,1037.4321631774121,1317.002292870351,198887.390625,227690.953125,377462.31102117646,8,333.9509803921569,0.5089966615786063,0.45871687713125153,True,True,True,2540.69140625,-6532362.0
C1H,2X5JQ679DG,0.3,0009_CHICHI_TCU029-E,Success,0.008437005511973907,0.6198536771701597,1043.622443160482,1175.0788376792252,145280.921875,211783.796875,377462.31102117646,8,333.9509803921569,0.029532580763136154,0.40542183968430595,True,True,True,473.3955993652344,-5765668.5
C1H,2X5JQ679DG,0.4,0001_CHICHI_TCU049_E,Success,0.009883839480601042,0.6197480019071647,931.067326487846,1152.1927849303956,174056.6875,248394.234375,377462.31102117646,8,333.9509803921569,0.8474225512839895,1.1386123881720658,True,True,True,136.03749084472656,-7287057.0
C1H,2X5JQ679DG,0.4,0002_CHICHI_TCU051_E,Success,0.011028153022483589,0.6197480019071647,1315.5096282306763,1681.7600462156565,224672.671875,304858.0,377462.31102117646,8,333.9509803921569,1.9345704369395509,0.11111764109895243,True,True,True,1618.8818359375,-18587044.0
C1H,2X5JQ679DG,0.4,0003_0331Hualian_TCU095_E,Success,0.007519360887856096,0.6197480019071647,1155.4535678483949,956.7909992559751,198894.90625,170960.34375,377462.31102117646,8,333.9509803921569,0.06331299483374744,0.34702152121813956,True,True,True,1191.0811767578125,-4626605.0
C1H,2X5JQ679DG,0.4,0005_0206Meinong_CHY056_E,Success,0.013960684691348257,0.619866864655727,1440.551570361827,996.4741944338009,251552.25,210212.578125,377462.31102117646,8,333.9509803921569,1.4585134416083487,1.2235106821703732,True,True,True,1568.29638671875,-12948998.0
C1H,2X5JQ679DG,0.4,0007_0206Meinong_CHY067_E,Success,0.005376313318629597,0.6198536771701597,766.2666299012202,740.2118964656621,167373.921875,155123.546875,377462.31102117646,8,333.9509803921569,0.09379465732976619,0.08666513943073972,True,True,True,194.6825714111328,-2635703.25
